East, North, Elevation
278805.00, 2088005.00, 551.61
278805.00, 2088015.00, 560.00
278805.00, 2088025.00, 560.00
278805.00, 2088035.00, 560.00
278805.00, 2088045.00, 561.61
278805.00, 2088055.00, 570.00
278805.00, 2088065.00, 570.00
278805.00, 2088075.00, 570.00
278805.00, 2088085.00, 570.00
278805.00, 2088095.00, 570.00
278805.00, 2088105.00, 570.00
278805.00, 2088115.00, 570.00
278805.00, 2088125.00, 561.61
278805.00, 2088135.00, 561.61
278805.00, 2088145.00, 561.61
278805.00, 2088155.00, 561.61
278805.00, 2088165.00, 560.00
278805.00, 2088175.00, 560.00
278805.00, 2088185.00, 560.00
278805.00, 2088195.00, 560.00
278805.00, 2088205.00, 560.00
278805.00, 2088215.00, 560.00
278805.00, 2088225.00, 560.00
278805.00, 2088235.00, 560.00
278805.00, 2088245.00, 560.00
278805.00, 2088255.00, 560.00
278805.00, 2088265.00, 561.61
278805.00, 2088275.00, 561.61
278805.00, 2088285.00, 561.61
278805.00, 2088295.00, 561.61
278805.00, 2088305.00, 560.00
278805.00, 2088315.00, 561.61
278805.00, 2088325.00, 570.00
278805.00, 2088335.00, 570.00
278805.00, 2088345.00, 570.00
278805.00, 2088355.00, 573.22
278805.00, 2088365.00, 581.61
278805.00, 2088375.00, 590.00
278805.00, 2088385.00, 591.61
278805.00, 2088395.00, 600.00
278805.00, 2088405.00, 601.61
278805.00, 2088415.00, 610.00
278805.00, 2088425.00, 610.00
278805.00, 2088435.00, 610.00
278805.00, 2088445.00, 610.00
278805.00, 2088455.00, 611.61
278805.00, 2088465.00, 620.00
278805.00, 2088475.00, 621.61
278805.00, 2088485.00, 630.00
278805.00, 2088495.00, 630.00
278805.00, 2088505.00, 631.61
278805.00, 2088515.00, 640.00
278805.00, 2088525.00, 640.00
278805.00, 2088535.00, 641.61
278805.00, 2088545.00, 650.00
278805.00, 2088555.00, 650.00
278805.00, 2088565.00, 651.61
278805.00, 2088575.00, 660.00
278805.00, 2088585.00, 660.00
278805.00, 2088595.00, 660.00
278805.00, 2088605.00, 660.00
278805.00, 2088615.00, 661.61
278805.00, 2088625.00, 661.61
278805.00, 2088635.00, 660.00
278805.00, 2088645.00, 660.00
278805.00, 2088655.00, 653.22
