East, North, Elevation
15.00, 15.00, 420.00
15.00, 45.00, 420.00
15.00, 75.00, 420.00
15.00, 105.00, 420.00
15.00, 135.00, 420.00
15.00, 165.00, 420.00
15.00, 195.00, 420.00
15.00, 225.00, 420.00
15.00, 255.00, 420.00
15.00, 285.00, 420.00
15.00, 315.00, 450.00
15.00, 345.00, 450.00
15.00, 375.00, 450.00
15.00, 405.00, 450.00
15.00, 435.00, 450.00
15.00, 465.00, 450.00
15.00, 495.00, 450.00
15.00, 525.00, 450.00
15.00, 555.00, 450.00
15.00, 585.00, 450.00
15.00, 615.00, 450.00
15.00, 645.00, 450.00
15.00, 675.00, 450.00
15.00, 705.00, 450.00
15.00, 735.00, 450.00
15.00, 765.00, 450.00
15.00, 795.00, 450.00
15.00, 825.00, 450.00
15.00, 855.00, 450.00
15.00, 885.00, 450.00
15.00, 915.00, 450.00
15.00, 945.00, 450.00
15.00, 975.00, 450.00
15.00, 1005.00, 450.00
15.00, 1035.00, 450.00
15.00, 1065.00, 450.00
15.00, 1095.00, 450.00
15.00, 1125.00, 450.00
15.00, 1155.00, 450.00
15.00, 1185.00, 450.00
15.00, 1215.00, 450.00
15.00, 1245.00, 450.00
15.00, 1275.00, 450.00
15.00, 1305.00, 450.00
15.00, 1335.00, 450.00
15.00, 1365.00, 450.00
15.00, 1395.00, 450.00
15.00, 1425.00, 450.00
15.00, 1455.00, 450.00
15.00, 1485.00, 450.00
15.00, 1515.00, 450.00
15.00, 1545.00, 450.00
15.00, 1575.00, 450.00
15.00, 1605.00, 450.00
15.00, 1635.00, 450.00
15.00, 1665.00, 450.00
15.00, 1695.00, 450.00
15.00, 1725.00, 450.00
15.00, 1755.00, 450.00
15.00, 1785.00, 450.00
45.00, 15.00, 420.00
45.00, 45.00, 420.00
45.00, 75.00, 420.00
45.00, 105.00, 450.00
45.00, 135.00, 450.00
45.00, 165.00, 450.00
45.00, 195.00, 450.00
45.00, 225.00, 420.00
45.00, 255.00, 420.00
45.00, 285.00, 420.00
45.00, 315.00, 420.00
45.00, 345.00, 450.00
45.00, 375.00, 450.00
45.00, 405.00, 450.00
45.00, 435.00, 450.00
45.00, 465.00, 450.00
45.00, 495.00, 450.00
45.00, 525.00, 450.00
45.00, 555.00, 450.00
45.00, 585.00, 450.00
45.00, 615.00, 450.00
45.00, 645.00, 450.00
45.00, 675.00, 450.00
45.00, 705.00, 450.00
45.00, 735.00, 450.00
45.00, 765.00, 450.00
45.00, 795.00, 450.00
45.00, 825.00, 450.00
45.00, 855.00, 450.00
45.00, 885.00, 450.00
45.00, 915.00, 450.00
45.00, 945.00, 450.00
45.00, 975.00, 450.00
45.00, 1005.00, 450.00
45.00, 1035.00, 450.00
45.00, 1065.00, 450.00
45.00, 1095.00, 450.00
45.00, 1125.00, 450.00
45.00, 1155.00, 450.00
45.00, 1185.00, 450.00
45.00, 1215.00, 450.00
45.00, 1245.00, 450.00
45.00, 1275.00, 450.00
45.00, 1305.00, 450.00
45.00, 1335.00, 450.00
45.00, 1365.00, 450.00
45.00, 1395.00, 450.00
45.00, 1425.00, 450.00
45.00, 1455.00, 450.00
45.00, 1485.00, 450.00
45.00, 1515.00, 450.00
45.00, 1545.00, 450.00
45.00, 1575.00, 450.00
45.00, 1605.00, 450.00
45.00, 1635.00, 450.00
45.00, 1665.00, 450.00
45.00, 1695.00, 450.00
45.00, 1725.00, 450.00
45.00, 1755.00, 450.00
45.00, 1785.00, 450.00
75.00, 15.00, 420.00
75.00, 45.00, 450.00
75.00, 75.00, 450.00
75.00, 105.00, 450.00
75.00, 135.00, 450.00
75.00, 165.00, 450.00
75.00, 195.00, 450.00
75.00, 225.00, 450.00
75.00, 255.00, 420.00
75.00, 285.00, 450.00
75.00, 315.00, 450.00
75.00, 345.00, 450.00
75.00, 375.00, 450.00
75.00, 405.00, 450.00
75.00, 435.00, 450.00
75.00, 465.00, 450.00
75.00, 495.00, 450.00
75.00, 525.00, 450.00
75.00, 555.00, 450.00
75.00, 585.00, 450.00
75.00, 615.00, 450.00
75.00, 645.00, 450.00
75.00, 675.00, 450.00
75.00, 705.00, 450.00
75.00, 735.00, 450.00
75.00, 765.00, 450.00
75.00, 795.00, 450.00
75.00, 825.00, 450.00
75.00, 855.00, 450.00
75.00, 885.00, 450.00
75.00, 915.00, 450.00
75.00, 945.00, 450.00
75.00, 975.00, 450.00
75.00, 1005.00, 450.00
75.00, 1035.00, 450.00
75.00, 1065.00, 450.00
75.00, 1095.00, 450.00
75.00, 1125.00, 450.00
75.00, 1155.00, 450.00
75.00, 1185.00, 450.00
75.00, 1215.00, 450.00
75.00, 1245.00, 450.00
75.00, 1275.00, 450.00
75.00, 1305.00, 450.00
75.00, 1335.00, 450.00
75.00, 1365.00, 450.00
75.00, 1395.00, 450.00
75.00, 1425.00, 450.00
75.00, 1455.00, 450.00
75.00, 1485.00, 450.00
75.00, 1515.00, 450.00
75.00, 1545.00, 450.00
75.00, 1575.00, 450.00
75.00, 1605.00, 450.00
75.00, 1635.00, 450.00
75.00, 1665.00, 450.00
75.00, 1695.00, 450.00
75.00, 1725.00, 450.00
75.00, 1755.00, 450.00
75.00, 1785.00, 450.00
105.00, 15.00, 450.00
105.00, 45.00, 450.00
105.00, 75.00, 450.00
105.00, 105.00, 450.00
105.00, 135.00, 450.00
105.00, 165.00, 450.00
105.00, 195.00, 450.00
105.00, 225.00, 450.00
105.00, 255.00, 450.00
105.00, 285.00, 450.00
105.00, 315.00, 450.00
105.00, 345.00, 450.00
105.00, 375.00, 450.00
105.00, 405.00, 450.00
105.00, 435.00, 450.00
105.00, 465.00, 450.00
105.00, 495.00, 450.00
105.00, 525.00, 450.00
105.00, 555.00, 450.00
105.00, 585.00, 450.00
105.00, 615.00, 450.00
105.00, 645.00, 450.00
105.00, 675.00, 450.00
105.00, 705.00, 450.00
105.00, 735.00, 450.00
105.00, 765.00, 450.00
105.00, 795.00, 450.00
105.00, 825.00, 450.00
105.00, 855.00, 450.00
105.00, 885.00, 450.00
105.00, 915.00, 450.00
105.00, 945.00, 450.00
105.00, 975.00, 450.00
105.00, 1005.00, 450.00
105.00, 1035.00, 450.00
105.00, 1065.00, 450.00
105.00, 1095.00, 450.00
105.00, 1125.00, 450.00
105.00, 1155.00, 450.00
105.00, 1185.00, 450.00
105.00, 1215.00, 450.00
105.00, 1245.00, 450.00
105.00, 1275.00, 450.00
105.00, 1305.00, 450.00
105.00, 1335.00, 450.00
105.00, 1365.00, 450.00
105.00, 1395.00, 450.00
105.00, 1425.00, 450.00
